2014-04-01,318_477_40.75320159_-73.9779874_40.75640548_-73.9900262_15	
2014-04-01,281_499_40.7643971_-73.97371465_40.76915505_-73.98191841_15	
2014-04-01,116_521_40.74177603_-74.00149746_40.75044999_-73.99481051_13	
2014-04-01,318_492_40.75320159_-73.9779874_40.75019995_-73.99093085_10	
2014-04-01,168_521_40.73971301_-73.99456405_40.75044999_-73.99481051_9	
2014-04-02,318_477_40.75320159_-73.9779874_40.75640548_-73.9900262_10	
2014-04-02,497_519_40.73704984_-73.99009296_40.752416_-73.97837_-9	
2014-04-02,447_523_40.76370739_-73.9851615_40.75466591_-73.99138152_-8	
2014-04-02,519_523_40.752416_-73.97837_40.75466591_-73.99138152_-8	
2014-04-02,492_519_40.75019995_-73.99093085_40.752416_-73.97837_-8	
2014-04-03,318_477_40.75320159_-73.9779874_40.75640548_-73.9900262_15	
2014-04-03,116_521_40.74177603_-74.00149746_40.75044999_-73.99481051_10	
2014-04-03,422_499_40.770513_-73.988038_40.76915505_-73.98191841_-10	
2014-04-03,318_492_40.75320159_-73.9779874_40.75019995_-73.99093085_10	
2014-04-03,435_509_40.74173969_-73.99415556_40.7454973_-74.00197139_9	
2014-04-04,293_432_40.73028666_-73.9907647_40.72621788_-73.98379855_-11	
2014-04-04,239_366_40.69196566_-73.9813018_40.693261_-73.968896_-10	
2014-04-04,434_521_40.74317449_-74.00366443_40.75044999_-73.99481051_-8	
2014-04-04,318_457_40.75320159_-73.9779874_40.76695317_-73.98169333_-8	
2014-04-04,285_335_40.73454567_-73.99074142_40.72903917_-73.99404649_7	
2014-04-05,281_2006_40.7643971_-73.97371465_40.76590936_-73.97634151_11	
2014-04-05,435_462_40.74173969_-73.99415556_40.74691959_-74.00451887_11	
2014-04-05,447_499_40.76370739_-73.9851615_40.76915505_-73.98191841_9	
2014-04-05,285_307_40.73454567_-73.99074142_40.71427487_-73.98990025_-9	
2014-04-05,461_503_40.73587678_-73.98205027_40.73827428_-73.98751968_-9	
2014-04-06,217_387_40.70277159_-73.99383605_40.71273266_-74.0046073_20	
2014-04-06,427_3002_40.70251526_-74.01427023_40.711512_-74.015756_-12	
2014-04-06,281_2006_40.7643971_-73.97371465_40.76590936_-73.97634151_11	
2014-04-06,426_427_40.71754834_-74.01322069_40.70251526_-74.01427023_11	
2014-04-06,499_2006_40.76915505_-73.98191841_40.76590936_-73.97634151_-9	
2014-04-07,285_335_40.73454567_-73.99074142_40.72903917_-73.99404649_10	
2014-04-07,318_477_40.75320159_-73.9779874_40.75640548_-73.9900262_9	
2014-04-07,426_514_40.71754834_-74.01322069_40.76087502_-74.00277668_-8	
2014-04-07,359_477_40.75510267_-73.97498696_40.75640548_-73.9900262_-8	
2014-04-07,490_500_40.751551_-73.993934_40.76228826_-73.98336183_8	
2014-04-08,116_521_40.74177603_-74.00149746_40.75044999_-73.99481051_14	
2014-04-08,151_293_40.7218158_-73.99720307_40.73028666_-73.9907647_10	
2014-04-08,318_477_40.75320159_-73.9779874_40.75640548_-73.9900262_9	
2014-04-08,435_462_40.74173969_-73.99415556_40.74691959_-74.00451887_8	
2014-04-08,434_488_40.74317449_-74.00366443_40.75645824_-73.99372222_-7	
2014-04-09,318_477_40.75320159_-73.9779874_40.75640548_-73.9900262_20	
2014-04-09,281_499_40.7643971_-73.97371465_40.76915505_-73.98191841_-15	
2014-04-09,477_521_40.75640548_-73.9900262_40.75044999_-73.99481051_-10	
2014-04-09,173_359_40.76064679_-73.98442659_40.75510267_-73.97498696_10	
2014-04-09,449_479_40.76461837_-73.98789473_40.76019252_-73.9912551_9	
2014-04-10,318_477_40.75320159_-73.9779874_40.75640548_-73.9900262_18	
2014-04-10,293_432_40.73028666_-73.9907647_40.72621788_-73.98379855_-14	
2014-04-10,318_492_40.75320159_-73.9779874_40.75019995_-73.99093085_14	
2014-04-10,305_521_40.76095756_-73.96724467_40.75044999_-73.99481051_-12	
2014-04-10,116_521_40.74177603_-74.00149746_40.75044999_-73.99481051_11	
2014-04-11,492_519_40.75019995_-73.99093085_40.752416_-73.97837_-18	
2014-04-11,318_477_40.75320159_-73.9779874_40.75640548_-73.9900262_14	
2014-04-11,519_521_40.752416_-73.97837_40.75044999_-73.99481051_-11	
2014-04-11,327_426_40.7153379_-74.01658354_40.71754834_-74.01322069_-9	
2014-04-11,492_522_40.75019995_-73.99093085_40.75714758_-73.97207836_-9	
2014-04-12,281_499_40.7643971_-73.97371465_40.76915505_-73.98191841_16	
2014-04-12,225_426_40.74195138_-74.00803013_40.71754834_-74.01322069_-16	
2014-04-12,304_426_40.70463334_-74.01361706_40.71754834_-74.01322069_-15	
2014-04-12,72_225_40.76727216_-73.99392888_40.74195138_-74.00803013_13	
2014-04-12,479_499_40.76019252_-73.9912551_40.76915505_-73.98191841_-12	
2014-04-13,304_426_40.70463334_-74.01361706_40.71754834_-74.01322069_-23	
2014-04-13,217_398_40.70277159_-73.99383605_40.69165183_-73.9999786_14	
2014-04-13,447_499_40.76370739_-73.9851615_40.76915505_-73.98191841_13	
2014-04-13,250_293_40.72456089_-73.99565293_40.73028666_-73.9907647_12	
2014-04-13,479_499_40.76019252_-73.9912551_40.76915505_-73.98191841_-11	
2014-04-14,447_499_40.76370739_-73.9851615_40.76915505_-73.98191841_14	
2014-04-14,217_387_40.70277159_-73.99383605_40.71273266_-74.0046073_13	
2014-04-14,463_509_40.74206539_-74.00443172_40.7454973_-74.00197139_-12	
2014-04-14,293_432_40.73028666_-73.9907647_40.72621788_-73.98379855_-10	
2014-04-14,212_496_40.74334935_-74.00681753_40.73726186_-73.99238967_9	
2014-04-15,285_335_40.73454567_-73.99074142_40.72903917_-73.99404649_9	
2014-04-15,358_404_40.73291553_-74.00711384_40.7405826_-74.00550867_7	
2014-04-15,300_432_40.728145_-73.990214_40.72621788_-73.98379855_-7	
2014-04-15,318_529_40.75320159_-73.9779874_40.7575699_-73.99098507_6	
2014-04-15,293_394_40.73028666_-73.9907647_40.72521311_-73.97768752_-6	
2014-04-16,318_477_40.75320159_-73.9779874_40.75640548_-73.9900262_22	
2014-04-16,492_519_40.75019995_-73.99093085_40.752416_-73.97837_-9	
2014-04-16,435_463_40.74173969_-73.99415556_40.74206539_-74.00443172_9	
2014-04-16,379_528_40.749156_-73.9916_40.74290902_-73.97706058_-9	
2014-04-16,519_537_40.752416_-73.97837_40.74025878_-73.98409214_8	
2014-04-17,457_500_40.76695317_-73.98169333_40.76228826_-73.98336183_14	
2014-04-17,173_457_40.76064679_-73.98442659_40.76695317_-73.98169333_-11	
2014-04-17,318_477_40.75320159_-73.9779874_40.75640548_-73.9900262_11	
2014-04-17,151_293_40.7218158_-73.99720307_40.73028666_-73.9907647_10	
2014-04-17,499_2006_40.76915505_-73.98191841_40.76590936_-73.97634151_-10	
